Cluster_ID,Standard_Name_Suggestion,Aliases_Found,Cluster_Size
11,2023中国物业服务市场化运营领先企业,2023中国住宅物业服务领先企业 | 2023中国公众物业服务领先企业 | 2023中国写字楼物业服务领先企业 | 2023中国医院物业服务领先企业 | 2023中国品质物业服务领先企业 | 2023中国商业物业服务领先企业 | 2023中国学校物业服务领先企业 | 2023中国智慧物业服务领先企业 | 2023中国物业城市服务领先企业 | 2023中国物业增值服务运营领先企业 | 2023中国物业服务成长性领先企业,12
7,2025年第二季度末公募机构非货规模第41位-50位,2025年二季度末公募机构非货规模前十名 | 2025年第二季度末公募机构非货规模第11位-20位 | 2025年第二季度末公募机构非货规模第21位-30位 | 2025年第二季度末公募机构非货规模第31位-40位,5
8,2025中国药品研发综合实力排行榜TOP100,2025中国化药研发实力TOP50 | 2025中国生物药研发实力排行榜TOP50 | 2025中国药品研发综合实力TOP100,4
28,2022中国房地产百强企业榜,2025 中国房地产百强企业 | 中国房地产百强企业榜单,3
3,2025 福布斯中国人工智能科技企业 TOP 50 评选,2025 福布斯中国人工智能科技企业 TOP 50 | 2025福布斯中国人工智能科技企业TOP50,3
2,2025年CNPP软件开发公司行业十大品牌榜中榜名录,2025年CNPP上市公司行业十大品牌榜中榜名录 | 2025年CNPP中华老字号行业十大品牌榜中榜名录,3
15,2023中国产业园区物业服务领先企业,2023中国交通枢纽物业服务领先企业 | 2023中国行政办公物业服务领先企业,3
34,2024中国软件企业150强名单,2018中国大数据企业50强名单 | 2023中国大数据企业50强名单,3
44,四大会计师事务所,八大会计师事务所,2
14,2025 全球汽车零部件配套供应商百强榜,2025全球汽车零部件配套供应商百强榜,2
17,2019年（第18届）中国软件业务收入前百家企业,2018年（第17届）中国软件业务收入前百家企业,2
22,2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强,2
23,2023年中国房地产企业稳健经营榜,2023年中国房地产企业重振榜,2
33,2025 《财富》中国 500 强排行榜,2025年《财富》中国500强排行榜,2
27,2025中国金融科技竞争力TOP100,中国金融科技竞争力TOP100,2
9,2025年《财富》中国500强净资产收益率（ROE）TOP10,2025年《财富》中国500强净利润率TOP10,2
47,2023中国VR50强企业,2024VR50强企业,2
50,2022最具价值品牌榜,最具价值公司榜,2
36,2024年中国银行业前100名单,中国银行业100强榜单,2
56,中国交通500强,中国500强,2
55,2025全球资管500强,2022全球资管500强,2
54,财富世界500强,世界500强,2
1,2024年中国物业服务企业500强优选服务商智慧物业领域品牌,,1
19,2024年中国保险公司市场价值排行榜,,1
5,2024年度中国医药工业主营业务收入前100位企业,,1
20,2023中国物业社会责任贡献领先企业,,1
21,2023年IRN100榜单前十名租赁公司,,1
26,2025年十大软件开发公司排行榜,,1
18,中国金融科技竞争力2024年百强榜单,,1
16,2022中国房地产企业综合实力TOP100,,1
12,2022年信托公司行业评级A类公司榜单,,1
13,2025全球海运货代50强榜单中的中国企业,,1
4,2025年中国区块链行业重点企业核心竞争力排名,,1
10,中国房地产品牌价值排行榜前十名,,1
6,2024 城际高铁和轨道交通建设企业 TOP50,,1
35,2025全球海运货代前十位,,1
32,2025中国CDMO企业TOP20,,1
30,全国融资租赁企业50强排名,,1
31,2024年度中国医药工业百强榜,,1
29,2024年信托公司利润总额榜单,,1
24,2025全国高新区盈利能力百强榜单,,1
25,2024全球保险品牌价值100强排行榜,,1
40,2024年度技术公司100强榜单,,1
43,全球区块链50强榜单,,1
42,国家企业技术中心,,1
41,2025年财富中国500强榜单,,1
45,金融租赁公司排名,,1
46,科技型中小企业,,1
37,2025年《财富》中国500强榜单,,1
38,国家制造业单项冠军,,1
39,中国最好的期货公司,,1
51,2025 全球独角兽榜,,1
49,全球物流企业50强,,1
48,专精特新小巨人,,1
53,高新技术企业,,1
52,标准起草单位,,1
57,AI四小龙,,1
58,大厂经验,,1
59,瞪羚企业,,1
60,上市公司,,1
61,区域百强,,1
62,地产百强,,1
63,驰名商标,,1
64,驰名保护,,1
65,独角兽,,1
66,四大行,,1
67,BAT,,1
