行业名,别名
计算机软件,"软件,计算机,信息技术,工具软件,企业级软件,IT系统集成,软件实施,IT软件外包,Software,应用软件,Application Software,软件开发,Software Development,应用程序开发 App Development,企业级软件,Enterprise Software,软件产品Software Products,软件解决方案,Software Solutions,IT软件,IT Software,软件编程,移动软件开发,桌面软件开发,计算机软件,Computer Software"
计算机硬件,"硬件,计算机,信息技术,Hardware,IT硬件,IT Hardware,计算设备Computing Equipment,计算机组件,Computer Components,基础设施硬件,Infrastructure Hardware,电脑硬件,主机硬件,外设硬件,计算机硬件,Computer Hardware"
计算机服务,"计算机系统,计算机数据服务,计算机维修,计算机,系统服务,数据服务,IT维护,IT服务,计算机维护,信息技术,计算机服务,IT支持,IT Support,技术服务,Technology Services, IT咨询,IT Consulting,系统集成,Systems Integration, 外包IT,Outsourced IT,Computer Services,电脑维修保养,数据恢复服务,云计算服务,计算机服务,IT Services"
互联网/电子商务,"互联网,电子商务,信息技术,淘宝店,微商,搜索引擎,线上业务 ,Online Business,数字商务,Digital Commerce,电子业务 ,E-business,网络商务,Web Commerce,互联网商务,Internet Commerce,电商平台运营,跨境电商,直播电商,互联网/电子商务,Internet/E-commerce"
网络游戏,"网络游戏,网游,游戏开发,游戏运营,互联网游戏,Internet Games,网页游戏,Web-based Games,在线游戏,Online Games,移动游戏,Mobile Games,电子游戏,Video Games,游戏策划,游戏美术,游戏测试,网络游戏,Online Games"
生活服务（O2O）,"O2O,在线旅游,在线酒店,互联网出行,本地生活服务,Local Services,按需服务,On-demand Services,本地商务,Local Commerce,服务平台,Service Marketplace,到家服务,Home Services,线上线下融合服务,生活服务（O2O）,Local Lifestyle Services (O2O)"
企业服务,"Business Services,B2B服务,B2B Services,商业解决方案,Business Solutions,企业级服务,Corporate Services,SaaS,Software as a Service,政企服务,企业管理服务,企业信息化服务,企业咨询服务,企业服务,Enterprise Solutions"
在线医疗,"互联网医疗,医疗信息化,远程医疗,Telemedicine,远程健康,Telehealth,数字健康,Digital Health ,电子健康,eHealth,移动医疗,mHealth,Mobile Health,虚拟诊疗,Virtual Care,Remote Healthcare,远程医疗,互联网医疗,线上问诊,在线医疗,Online Medical Services"
社交网络与媒体,"新闻咨询,网媒,新媒体,新媒体营销,在线音乐,阅读,社区,论坛,媒体,视频网站,短视频,直播,社交媒体,Social Media,社交平台,Social Platforms,在线社区,Online Communities,用户生成内容平台,UGC Platforms,User-Generated Content,数字媒体,Digital Media,社群平台,线上社交,社交网络与媒体,Social Networking & Media"
人工智能,"AI, 机器学习,Machine Learning,深度学习,Deep Learning,认知计算,Cognitive Computing,智能系统,Intelligent Systems,人工智能与机器学习,智能科技,AI技术,智能算法,人工智能,Artificial Intelligence"
